unit,vehicle,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
NR,CAR,SK	: 	: 	: 	: 	: 	: 	: 	: 	171 	182 	292 	293 	282 	294 	283 	306 	304 	304 	: 	: 
NR,CAR,UK	799 	815 	853 	798 	835 	815 	829 	911 	859 	1123 	1312 	1489 	1687 	1744 	1757 	1841 	1832 	1816 	1770 	1763 
NR,MCO,DE	2 	18 	1 	1 	8 	2 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MCO,FR	3 	12 	4 	42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MCO,LU	0 	: 	0 	0 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MCO,MT	2 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MCO,NO	: 	0 	0 	0 	4 	2 	2 	1 	1 	0 	0 	1 	0 	0 	1 	1 	1 	0 	: 	: 
NR,MOP,AT	8 	14 	8 	8 	16 	15 	19 	18 	18 	30 	25 	24 	39 	41 	44 	47 	46 	37 	44 	48 
NR,MOP,BE	18 	24 	16 	20 	19 	14 	15 	20 	23 	25 	32 	26 	36 	30 	33 	45 	68 	63 	66 	56 
NR,MOP,BG	7 	11 	8 	11 	8 	6 	4 	10 	5 	5 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOP,CH	5 	2 	6 	3 	1 	8 	3 	4 	4 	8 	9 	7 	11 	6 	9 	17 	8 	22 	: 	: 
NR,MOP,CY	2 	2 	2 	2 	4 	0 	3 	3 	3 	4 	8 	8 	5 	9 	: 	: 	: 	: 	: 	: 
NR,MOP,CZ	5 	2 	1 	6 	8 	6 	7 	7 	7 	9 	2 	3 	3 	8 	5 	11 	17 	9 	16 	10 
NR,MOP,DE	78 	59 	68 	62 	87 	73 	93 	70 	74 	99 	110 	100 	107 	107 	122 	134 	131 	138 	157 	: 
NR,MOP,DK	10 	9 	8 	19 	13 	11 	14 	14 	11 	15 	30 	48 	24 	29 	46 	43 	38 	43 	47 	41 
NR,MOP,EE	0 	1 	3 	0 	0 	0 	1 	: 	0 	3 	6 	4 	2 	2 	: 	: 	: 	: 	: 	: 
NR,MOP,EL	27 	32 	25 	32 	20 	25 	35 	34 	36 	28 	41 	43 	57 	58 	55 	53 	55 	77 	90 	108 
NR,MOP,ES	62 	49 	54 	56 	53 	54 	65 	71 	94 	150 	178 	231 	300 	305 	355 	386 	379 	455 	469 	509 
NR,MOP,FI	3 	5 	5 	2 	3 	5 	7 	10 	9 	11 	13 	11 	13 	4 	14 	12 	7 	7 	9 	8 
NR,MOP,FR	133 	117 	121 	155 	165 	159 	179 	220 	248 	299 	291 	324 	317 	356 	336 	390 	384 	447 	453 	487 
NR,MOP,HR	4 	8 	10 	14 	11 	14 	16 	10 	15 	15 	27 	20 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOP,HU	13 	17 	16 	27 	17 	24 	25 	31 	19 	23 	26 	31 	42 	40 	22 	36 	: 	: 	: 	: 
NR,MOP,IS	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
NR,MOP,IT	108 	92 	116 	105 	112 	125 	127 	165 	206 	212 	292 	358 	346 	385 	456 	520 	452 	578 	637 	611 
NR,MOP,LT	: 	: 	: 	3 	1 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOP,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 
NR,MOP,LV	4 	6 	6 	6 	6 	3 	3 	5 	4 	1 	4 	4 	6 	5 	4 	: 	: 	: 	: 	: 
NR,MOP,MT	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOP,NL	31 	36 	34 	35 	32 	41 	40 	36 	32 	47 	51 	60 	63 	56 	57 	94 	98 	78 	107 	107 
NR,MOP,NO	: 	1 	1 	1 	2 	3 	4 	4 	0 	2 	5 	7 	3 	4 	8 	7 	6 	5 	: 	: 
NR,MOP,PL	: 	55 	77 	65 	71 	62 	82 	87 	83 	68 	87 	59 	57 	53 	51 	54 	59 	63 	75 	: 
NR,MOP,PT	: 	43 	44 	42 	43 	51 	57 	71 	77 	57 	69 	70 	95 	104 	120 	156 	142 	180 	222 	250 
NR,MOP,RO	18 	17 	33 	34 	30 	39 	99 	87 	114 	122 	150 	81 	45 	20 	1 	10 	6 	4 	3 	1 
NR,MOP,SE	7 	1 	8 	5 	8 	3 	8 	11 	8 	11 	11 	14 	15 	8 	18 	9 	12 	9 	10 	12 
